ProjectName,Release,MethodName,LOC,ParameterCount,CycloComplexity,CognitiveComplexity,NestingDepth,Revisions,Authors,TotalChurn,MaxChurn,AvgChurn,NumberOfCodeSmells,Bugginess
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/updateSubscriptionState(ByteString, ByteString, SubscriptionState, Callback, Object)",17,5,3,4,2,3,2,105,50,26.50,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object, Stat)",11,4,3,4,2,3,2,105,50,26.50,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/deleteSubscriptionState(ByteString, ByteString, Callback, Object)",17,4,3,3,2,3,2,105,50,26.50,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java/safeProcessResult(int, String, Object)",11,3,3,3,2,3,2,105,50,26.50,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java/chooseThread(),7,0,2,1,1,17,10,1010,192,37.25,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java/chooseThread(Object),7,1,2,1,1,17,10,1010,192,37.25,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java/submit(SafeRunnable),3,1,1,1,0,17,10,1010,192,37.25,0,yes
BOOKKEEPER,4.1.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java/submitOrdered(Object, SafeRunnable)",3,2,1,0,0,17,10,1010,192,37.25,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java/shutdown(),5,0,2,2,1,17,10,1010,192,37.25,0,yes
BOOKKEEPER,4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java/run(),5,0,1,0,0,8,4,154,41,12.57,0,yes
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java/operationFinished(Object, Void)",8,2,1,0,0,8,4,154,41,12.57,0,yes
BOOKKEEPER,4.1.0,"hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java/operationFailed(Object, PubSubException)",14,2,1,0,0,8,4,154,41,12.57,0,yes
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/create(HedwigSocketAddress),15,1,1,0,0,3,3,28,20,10.50,0,no
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/getDefaultServerHedwigSocketAddress(),3,0,1,0,0,3,3,28,20,10.50,0,no
BOOKKEEPER,4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java/isSSLEnabled(),3,0,1,0,0,3,3,28,20,10.50,0,no
BOOKKEEPER,4.1.0,"hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java/handleRequestAtOwner(PubSubRequest, Channel)",20,2,2,1,1,5,4,54,15,9.50,0,yes
